path,label,class_id
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri3_iter5__eps_0_030__n005482__0010_01.png,1,n005482
./detector_dataset\genuine\extra__n000915__0470_01.jpg,0,n000915
./detector_dataset\genuine\extra__n000973__0438_01.jpg,0,n000973
./detector_dataset\genuine\orig__n001432__0069_01.jpg,0,n001432
./detector_dataset\adversarial\CW_Untargeted__iter_10_lr_0_001_c_0_0__n003444.jpg,1,n003444
./detector_dataset\genuine\extra__n008245__0624_01.jpg,0,n008245
./detector_dataset\adversarial\PGD_nri1_iter5__eps_0_005__n006618__0089_01.png,1,n006618
./detector_dataset\genuine\orig__n001116__0184_01.jpg,0,n001116
./detector_dataset\adversarial\DeepFool__1000_iter_1_eps_1e-06__n004275__0184_01.jpg,1,n004275
./detector_dataset\adversarial\CW_Untargeted__iter_10_lr_0_001_c_0_0__n003376.jpg,1,n003376
./detector_dataset\adversarial\PGD_nri5_iter5__eps_0_010__n003806__0010_01.png,1,n003806
./detector_dataset\genuine\extra__n005482__0183_03.jpg,0,n005482
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter5__eps_0_030__n005884__0251_01.png,1,n005884
./detector_dataset\genuine\extra__n001116__0178_01.jpg,0,n001116
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter10__eps_0_100__n000227__0257_01.png,1,n000227
./detector_dataset\genuine\orig__n001774__0273_01.jpg,0,n001774
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_030__n001512__0115_01.png,1,n001512
./detector_dataset\adversarial\FGSM__eps_0_005__n009093__0165_02.png,1,n009093
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_100__n001517__0102_01.png,1,n001517
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_010__n001511__0113_01.png,1,n001511
./detector_dataset\genuine\extra__n008462__0293_01.jpg,0,n008462
./detector_dataset\genuine\orig__n002694__0213_01.jpg,0,n002694
./detector_dataset\genuine\extra__n004530__0017_02.jpg,0,n004530
./detector_dataset\genuine\orig__n005067__0251_01.jpg,0,n005067
./detector_dataset\genuine\extra__n005608__0198_01.jpg,0,n005608
./detector_dataset\genuine\extra__n007034__0115_01.jpg,0,n007034
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_01_c_0_0__n005591.jpg,1,n005591
./detector_dataset\adversarial\DeepFool__1000_iter_1_eps_1e-06__n001112__0168_01.jpg,1,n001112
./detector_dataset\genuine\extra__n002710__0296_02.jpg,0,n002710
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri1_iter40__eps_0_100__n003806__0257_01.png,1,n003806
./detector_dataset\genuine\orig__n007034__0257_01.jpg,0,n007034
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_010__n006460__0273_01.png,1,n006460
./detector_dataset\genuine\extra__n007224__0073_02.jpg,0,n007224
./detector_dataset\genuine\extra__n001517__0373_01.jpg,0,n001517
./detector_dataset\genuine\extra__n000227__0168_01.jpg,0,n000227
./detector_dataset\genuine\extra__n005106__0294_01.jpg,0,n005106
./detector_dataset\genuine\extra__n005010__0370_02.jpg,0,n005010
./detector_dataset\adversarial\DeepFool__iter_5_eps_1e-06__n004722.jpg,1,n004722
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_100__n001664__0162_02.png,1,n001664
./detector_dataset\genuine\extra__n001693__0213_01.jpg,0,n001693
./detector_dataset\adversarial\BIM_iter10__eps_0_100__n002655__0010_01.png,1,n002655
./detector_dataset\adversarial\DeepFool__1000_iter_1_eps_1e-06__n001116__0168_01.jpg,1,n001116
./detector_dataset\adversarial\CW_Untargeted__iter_1_lr_0_05_c_0_0__n003727.jpg,1,n003727
./detector_dataset\genuine\extra__n003500__0511_02.jpg,0,n003500
./detector_dataset\genuine\extra__n002818__0059_01.jpg,0,n002818
./detector_dataset\genuine\orig__n004168__0089_01.jpg,0,n004168
./detector_dataset\genuine\extra__n005106__0370_02.jpg,0,n005106
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri3_iter5__eps_0_030__n002694__0115_01.png,1,n002694
./detector_dataset\genuine\extra__n001511__0201_01.jpg,0,n001511
./detector_dataset\genuine\extra__n005106__0115_01.jpg,0,n005106
./detector_dataset\adversarial\DeepFool__1000_iter_5_eps_1e-06__n000879__0184_01.jpg,1,n000879
./detector_dataset\adversarial\PGD_nri3_iter5__eps_0_100__n007995__0394_01.png,1,n007995
./detector_dataset\adversarial\BIM_iter20__eps_0_005__n008360__0010_01.png,1,n008360
./detector_dataset\genuine\extra__n004934__0138_02.jpg,0,n004934
./detector_dataset\genuine\extra__n004055__0365_01.jpg,0,n004055
./detector_dataset\genuine\extra__n005106__0028_01.jpg,0,n005106
./detector_dataset\adversarial\DeepFool__1000_iter_5_eps_1e-06__n003181__0069_01.jpg,1,n003181
./detector_dataset\adversarial\CW_Untargeted__iter_1_lr_0_01_c_0_0__n003878.jpg,1,n003878
./detector_dataset\adversarial\PGD_nri5_iter5__eps_0_010__n005438__0102_01.png,1,n005438
./detector_dataset\genuine\extra__n005438__0083_01.jpg,0,n005438
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter10__eps_0_010__n002978__0257_01.png,1,n002978
./detector_dataset\genuine\extra__n005067__0089_01.jpg,0,n005067
./detector_dataset\genuine\extra__n001664__0109_01.jpg,0,n001664
./detector_dataset\adversarial\BIM_iter20__eps_0_005__n005438__0117_05.png,1,n005438
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter5__eps_0_030__n006618__0051_02.png,1,n006618
./detector_dataset\genuine\extra__n005067__0114_01.jpg,0,n005067
./detector_dataset\genuine\extra__n000915__0203_01.jpg,0,n000915
./detector_dataset\genuine\extra__n003376__0262_02.jpg,0,n003376
./detector_dataset\genuine\extra__n004988__0303_01.jpg,0,n004988
./detector_dataset\genuine\extra__n001638__0115_01.jpg,0,n001638
./detector_dataset\genuine\extra__n000227__0184_01.jpg,0,n000227
./detector_dataset\adversarial\DeepFool__1000_iter_5_eps_1e-06__n002972__0089_01.jpg,1,n002972
./detector_dataset\genuine\extra__n004491__0527_01.jpg,0,n004491
./detector_dataset\genuine\extra__n003376__0069_01.jpg,0,n003376
./detector_dataset\genuine\extra__n004168__0202_06.jpg,0,n004168
./detector_dataset\adversarial\FGSM__eps_0_005__n006460__0010_01.png,1,n006460
./detector_dataset\genuine\extra__n001116__0168_01.jpg,0,n001116
./detector_dataset\genuine\extra__n001112__0278_01.jpg,0,n001112
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_1_c_0_0__n008360.jpg,1,n008360
./detector_dataset\genuine\extra__n002710__0356_02.jpg,0,n002710
./detector_dataset\genuine\extra__n003045__0279_02.jpg,0,n003045
./detector_dataset\adversarial\DeepFool__1000_iter_10_eps_1e-06__n006618__0273_01.jpg,1,n006618
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri3_iter5__eps_0_030__n003500__0069_01.png,1,n003500
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter5__eps_0_030__n009271__0089_01.png,1,n009271
./detector_dataset\adversarial\BIM_iter10__eps_0_100__n005438__0102_01.png,1,n005438
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_100__n006460__0168_01.png,1,n006460
./detector_dataset\genuine\extra__n003806__0203_02.jpg,0,n003806
./detector_dataset\genuine\extra__n001706__0191_03.jpg,0,n001706
./detector_dataset\genuine\extra__n004168__0615_01.jpg,0,n004168
./detector_dataset\adversarial\CW_Untargeted__iter_10_lr_0_001_c_0_0__n001116.jpg,1,n001116
./detector_dataset\genuine\extra__n008360__0063_01.jpg,0,n008360
./detector_dataset\adversarial\CW_Untargeted__iter_10_lr_0_01_c_0_0__n002710.jpg,1,n002710
./detector_dataset\genuine\extra__n005010__0558_01.jpg,0,n005010
./detector_dataset\genuine\extra__n003878__0168_01.jpg,0,n003878
./detector_dataset\genuine\extra__n002978__0151_01.jpg,0,n002978
./detector_dataset\adversarial\DeepFool__iter_5_eps_1e-06__n005010.jpg,1,n005010
./detector_dataset\genuine\extra__n001638__0072_01.jpg,0,n001638
./detector_dataset\genuine\extra__n005067__0365_01.jpg,0,n005067
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_1_c_0_0__n008462.jpg,1,n008462
./detector_dataset\genuine\orig__n001706__0251_01.jpg,0,n001706
./detector_dataset\genuine\extra__n001432__0028_01.jpg,0,n001432
./detector_dataset\genuine\extra__n002978__0074_01.jpg,0,n002978
./detector_dataset\adversarial\FGSM__eps_0_005__n009216__0394_01.png,1,n009216
./detector_dataset\adversarial\DeepFool__iter_5_eps_1e-06__n005591.jpg,1,n005591
./detector_dataset\genuine\extra__n003666__0114_01.jpg,0,n003666
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter10__eps_0_010__n003376__0165_02.png,1,n003376
./detector_dataset\adversarial\CW_Untargeted__iter_20_lr_0_01_c_0_0__n005106.jpg,1,n005106
./detector_dataset\adversarial\DeepFool__1000_iter_10_eps_1e-06__n001149__0115_01.jpg,1,n001149
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri1_iter40__eps_0_100__n004275__0251_01.png,1,n004275
./detector_dataset\genuine\extra__n003666__0207_02.jpg,0,n003666
./detector_dataset\adversarial\BIM_iter10__eps_0_100__n008360__0069_01.png,1,n008360
./detector_dataset\genuine\extra__n001774__0102_01.jpg,0,n001774
./detector_dataset\genuine\extra__n004275__0213_01.jpg,0,n004275
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter5__eps_0_030__n002978__0213_01.png,1,n002978
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_010__n006614__1166_01.png,1,n006614
./detector_dataset\genuine\extra__n002818__0050_01.jpg,0,n002818
./detector_dataset\adversarial\DeepFool__1000_iter_10_eps_1e-06__n008360__0089_01.jpg,1,n008360
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri1_iter40__eps_0_100__n003444__0102_01.png,1,n003444
./detector_dataset\adversarial\PGD_nri1_iter5__eps_0_005__n001706__0168_01.png,1,n001706
./detector_dataset\genuine\extra__n001112__0115_01.jpg,0,n001112
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_05_c_0_0__n003729.jpg,1,n003729
./detector_dataset\adversarial\FGSM__eps_0_010__n002818__0327_01.png,1,n002818
./detector_dataset\adversarial\PGD_nri1_iter5__eps_0_005__n002710__0089_01.png,1,n002710
./detector_dataset\genuine\extra__n006614__0195_01.jpg,0,n006614
./detector_dataset\adversarial\BIM_iter20__eps_0_005__n007034__0257_01.png,1,n007034
./detector_dataset\genuine\orig__n005438__0102_01.jpg,0,n005438
./detector_dataset\adversarial\DeepFool__1000_iter_5_eps_1e-06__n005884__0251_01.jpg,1,n005884
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri1_iter40__eps_0_100__n002818__0854_02.png,1,n002818
./detector_dataset\genuine\extra__n002978__0186_01.jpg,0,n002978
./detector_dataset\genuine\extra__n001149__0057_01.jpg,0,n001149
./detector_dataset\genuine\extra__n005010__0167_01.jpg,0,n005010
./detector_dataset\adversarial\DeepFool__iter_50_eps_1e-06__n004530.jpg,1,n004530
./detector_dataset\genuine\extra__n001774__0294_01.jpg,0,n001774
./detector_dataset\genuine\extra__n002655__0044_01.jpg,0,n002655
./detector_dataset\genuine\extra__n003806__0069_01.jpg,0,n003806
./detector_dataset\adversarial\PGD_nri1_iter5__eps_0_005__n002710__0251_01.png,1,n002710
./detector_dataset\genuine\extra__n002918__0006_02.jpg,0,n002918
./detector_dataset\genuine\extra__n004934__0204_01.jpg,0,n004934
./detector_dataset\genuine\extra__n005438__0044_01.jpg,0,n005438
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri5_iter5__eps_0_010__n004275__0496_01.png,1,n004275
./detector_dataset\genuine\extra__n008360__0113_01.jpg,0,n008360
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter10__eps_0_010__n009216__0496_01.png,1,n009216
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_100__n008571__0184_01.png,1,n008571
./detector_dataset\adversarial\CW_Untargeted__iter_1_lr_0_05_c_0_0__n002818.jpg,1,n002818
./detector_dataset\adversarial\BIM_iter10__eps_0_100__n002694__0251_01.png,1,n002694
./detector_dataset\genuine\extra__n004722__0441_01.jpg,0,n004722
./detector_dataset\genuine\extra__n004530__0069_01.jpg,0,n004530
./detector_dataset\genuine\extra__n003878__0010_01.jpg,0,n003878
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_010__n001693__0089_01.png,1,n001693
./detector_dataset\genuine\extra__n005608__0326_01.jpg,0,n005608
./detector_dataset\adversarial\FGSM__eps_0_005__n003181__0168_01.png,1,n003181
./detector_dataset\genuine\orig__n001511__0113_01.jpg,0,n001511
./detector_dataset\genuine\extra__n004934__0226_01.jpg,0,n004934
./detector_dataset\adversarial\FGSM__eps_0_010__n004722__0010_01.png,1,n004722
./detector_dataset\genuine\extra__n000227__0133_03.jpg,0,n000227
./detector_dataset\adversarial\FGSM__eps_0_005__n000227__0203_02.png,1,n000227
./detector_dataset\adversarial\BIM_iter20__eps_0_005__n004168__0388_03.png,1,n004168
./detector_dataset\adversarial\PGD_nri1_iter5__eps_0_005__n003878__0115_05.png,1,n003878
./detector_dataset\genuine\orig__n001512__0010_01.jpg,0,n001512
./detector_dataset\genuine\extra__n003376__0131_02.jpg,0,n003376
./detector_dataset\genuine\extra__n005591__0246_01.jpg,0,n005591
./detector_dataset\adversarial\DeepFool__iter_3_eps_1e-06__n001266.jpg,1,n001266
./detector_dataset\genuine\extra__n003727__0010_01.jpg,0,n003727
./detector_dataset\adversarial\CW_Untargeted__iter_20_lr_0_1_c_0_0__n007469.jpg,1,n007469
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri5_iter5__eps_0_010__n005010__0496_01.png,1,n005010
./detector_dataset\genuine\extra__n007034__0033_02.jpg,0,n007034
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter5__eps_0_030__n008462__0113_01.png,1,n008462
./detector_dataset\adversarial\PGD_nri1_iter5__eps_0_005__n004055__0032_01.png,1,n004055
./detector_dataset\adversarial\BIM_iter20__eps_0_005__n005106__0198_02.png,1,n005106
./detector_dataset\genuine\extra__n003045__0229_01.jpg,0,n003045
./detector_dataset\adversarial\FGSM__eps_0_100__n004988__0184_01.png,1,n004988
./detector_dataset\genuine\extra__n000100__0293_01.jpg,0,n000100
./detector_dataset\genuine\orig__n002818__0854_02.jpg,0,n002818
./detector_dataset\genuine\orig__n000973__0394_01.jpg,0,n000973
./detector_dataset\adversarial\FGSM__eps_0_010__n004934__0365_01.png,1,n004934
./detector_dataset\adversarial\FGSM__eps_0_005__n005591__0213_01.png,1,n005591
./detector_dataset\genuine\extra__n001112__0149_01.jpg,0,n001112
./detector_dataset\genuine\extra__n009093__0063_01.jpg,0,n009093
./detector_dataset\adversarial\FGSM__eps_0_010__n003729__0273_01.png,1,n003729
./detector_dataset\genuine\extra__n006460__0338_01.jpg,0,n006460
./detector_dataset\adversarial\PGD_nri3_iter5__eps_0_100__n007224__0174_03.png,1,n007224
./detector_dataset\genuine\extra__n009093__0044_01.jpg,0,n009093
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_001_c_0_0__n005010.jpg,1,n005010
./detector_dataset\adversarial\FGSM__eps_0_010__n002710__0301_03.png,1,n002710
./detector_dataset\adversarial\PGD_nri5_iter5__eps_0_010__n003045__0165_02.png,1,n003045
./detector_dataset\genuine\extra__n000100__0037_01.jpg,0,n000100
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_001_c_0_0__n001149.jpg,1,n001149
./detector_dataset\genuine\extra__n001774__0028_01.jpg,0,n001774
./detector_dataset\genuine\extra__n003806__0156_01.jpg,0,n003806
./detector_dataset\genuine\orig__n004988__0168_01.jpg,0,n004988
./detector_dataset\genuine\extra__n006614__0037_01.jpg,0,n006614
./detector_dataset\genuine\extra__n000973__0114_01.jpg,0,n000973
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_001_c_0_0__n003064.jpg,1,n003064
./detector_dataset\genuine\orig__n001511__0184_01.jpg,0,n001511
./detector_dataset\genuine\orig__n005482__0069_01.jpg,0,n005482
./detector_dataset\genuine\extra__n007995__0338_01.jpg,0,n007995
./detector_dataset\genuine\extra__n007881__0529_03.jpg,0,n007881
./detector_dataset\genuine\orig__n004988__0213_01.jpg,0,n004988
./detector_dataset\genuine\extra__n004491__0522_04.jpg,0,n004491
./detector_dataset\genuine\extra__n003064__0004_03.jpg,0,n003064
./detector_dataset\genuine\extra__n005884__0251_01.jpg,0,n005884
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_1_c_0_0__n003376.jpg,1,n003376
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter5__eps_0_030__n004168__0203_02.png,1,n004168
./detector_dataset\genuine\extra__n002918__0093_01.jpg,0,n002918
./detector_dataset\genuine\extra__n004530__0292_02.jpg,0,n004530
./detector_dataset\genuine\extra__n003727__0438_01.jpg,0,n003727
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri5_iter5__eps_0_010__n003666__0434_02.png,1,n003666
./detector_dataset\adversarial\DeepFool__iter_50_eps_1e-06__n001706.jpg,1,n001706
./detector_dataset\genuine\extra__n008360__0251_01.jpg,0,n008360
./detector_dataset\adversarial\DeepFool__1000_iter_5_eps_1e-06__n006614__0089_01.jpg,1,n006614
./detector_dataset\adversarial\FGSM__eps_0_100__n001112__0168_01.png,1,n001112
./detector_dataset\genuine\orig__n003376__0184_01.jpg,0,n003376
./detector_dataset\genuine\extra__n001432__0195_01.jpg,0,n001432
./detector_dataset\genuine\extra__n003666__0084_01.jpg,0,n003666
./detector_dataset\adversarial\FGSM__eps_0_010__n000973__0010_01.png,1,n000973
./detector_dataset\adversarial\DeepFool__iter_100_eps_1e-06__n001517.jpg,1,n001517
./detector_dataset\genuine\extra__n001693__0248_01.jpg,0,n001693
./detector_dataset\genuine\extra__n006614__1165_01.jpg,0,n006614
./detector_dataset\adversarial\CW_Untargeted__iter_10_lr_0_01_c_0_0__n001116.jpg,1,n001116
./detector_dataset\adversarial\PGD_nri5_iter5__eps_0_010__n004988__0213_01.png,1,n004988
./detector_dataset\adversarial\BIM_iter5__eps_0_010__n008245__0069_01.png,1,n008245
./detector_dataset\genuine\extra__n000915__0201_01.jpg,0,n000915
./detector_dataset\genuine\extra__n005884__0167_01.jpg,0,n005884
./detector_dataset\genuine\orig__n000100__0115_01.jpg,0,n000100
./detector_dataset\adversarial\CW_Untargeted__iter_20_lr_0_1_c_0_0__n004168.jpg,1,n004168
./detector_dataset\genuine\extra__n002694__0248_01.jpg,0,n002694
./detector_dataset\genuine\extra__n003729__0113_01.jpg,0,n003729
./detector_dataset\genuine\extra__n001511__0407_01.jpg,0,n001511
./detector_dataset\adversarial\PGD_nri5_iter5__eps_0_010__n006618__0165_02.png,1,n006618
./detector_dataset\genuine\extra__n003666__0089_01.jpg,0,n003666
./detector_dataset\adversarial\CW_Untargeted__iter_20_lr_0_01_c_0_0__n001149.jpg,1,n001149
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri3_iter5__eps_0_030__n003500__0257_01.png,1,n003500
./detector_dataset\genuine\extra__n003666__0032_01.jpg,0,n003666
./detector_dataset\genuine\extra__n000973__0294_01.jpg,0,n000973
./detector_dataset\genuine\extra__n008571__0010_01.jpg,0,n008571
./detector_dataset\adversarial\FGSM__eps_0_100__n003727__0251_01.png,1,n003727
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri1_iter40__eps_0_100__n005884__0115_01.png,1,n005884
./detector_dataset\adversarial\CW_Untargeted__iter_1_lr_0_1_c_0_0__n006618.jpg,1,n006618
./detector_dataset\genuine\extra__n001511__0215_02.jpg,0,n001511
./detector_dataset\adversarial\DeepFool__1000_iter_1_eps_1e-06__n003666__0184_01.jpg,1,n003666
./detector_dataset\genuine\extra__n003806__0195_01.jpg,0,n003806
./detector_dataset\genuine\extra__n009093__0213_01.jpg,0,n009093
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri5_iter5__eps_0_010__n007224__0102_01.png,1,n007224
./detector_dataset\genuine\extra__n001693__0113_01.jpg,0,n001693
./detector_dataset\adversarial\PGD_nri1_iter5__eps_0_005__n006618__0496_01.png,1,n006618
./detector_dataset\genuine\extra__n002655__0010_01.jpg,0,n002655
./detector_dataset\adversarial\FGSM__eps_0_100__n001432__0102_01.png,1,n001432
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter10__eps_0_010__n001512__0168_01.png,1,n001512
./detector_dataset\genuine\orig__n000227__0273_01.jpg,0,n000227
./detector_dataset\genuine\extra__n007995__0113_01.jpg,0,n007995
./detector_dataset\genuine\extra__n001774__0149_01.jpg,0,n001774
./detector_dataset\adversarial\CW_Untargeted__iter_10_lr_0_1_c_0_0__n004275.jpg,1,n004275
./detector_dataset\adversarial\BIM_iter20__eps_0_005__n002710__0251_01.png,1,n002710
./detector_dataset\genuine\orig__n006971__0010_01.jpg,0,n006971
./detector_dataset\genuine\extra__n004275__0420_01.jpg,0,n004275
./detector_dataset\adversarial\DeepFool__iter_1_eps_1e-06__n004530.jpg,1,n004530
./detector_dataset\genuine\extra__n002655__0285_01.jpg,0,n002655
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri5_iter5__eps_0_010__n008462__0251_01.png,1,n008462
./detector_dataset\genuine\extra__n004055__0059_01.jpg,0,n004055
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_1_c_0_0__n001112.jpg,1,n001112
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri5_iter5__eps_0_010__n009216__0089_01.png,1,n009216
./detector_dataset\genuine\extra__n001664__0069_01.jpg,0,n001664
./detector_dataset\adversarial\DeepFool__1000_iter_5_eps_1e-06__n001664__0162_02.jpg,1,n001664
./detector_dataset\genuine\extra__n000973__0434_01.jpg,0,n000973
./detector_dataset\adversarial\BIM_iter5__eps_0_010__n006971__0184_01.png,1,n006971
./detector_dataset\genuine\extra__n008360__0343_01.jpg,0,n008360
./detector_dataset\genuine\extra__n006614__1151_01.jpg,0,n006614
./detector_dataset\genuine\extra__n006614__0044_01.jpg,0,n006614
./detector_dataset\genuine\extra__n009271__0193_01.jpg,0,n009271
./detector_dataset\genuine\orig__n000100__0203_02.jpg,0,n000100
./detector_dataset\genuine\extra__n000227__0293_01.jpg,0,n000227
./detector_dataset\adversarial\FGSM__eps_0_010__n001266__0257_01.png,1,n001266
./detector_dataset\genuine\extra__n005608__0114_01.jpg,0,n005608
./detector_dataset\genuine\extra__n002972__0024_01.jpg,0,n002972
./detector_dataset\genuine\extra__n008360__0032_01.jpg,0,n008360
./detector_dataset\adversarial\DeepFool__iter_200_eps_1e-06__n002710.jpg,1,n002710
./detector_dataset\genuine\extra__n001116__0362_01.jpg,0,n001116
./detector_dataset\genuine\extra__n003500__0156_01.jpg,0,n003500
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_010__n003878__0273_01.png,1,n003878
./detector_dataset\genuine\extra__n005591__0229_01.jpg,0,n005591
./detector_dataset\adversarial\FGSM__eps_0_005__n001149__0102_01.png,1,n001149
./detector_dataset\genuine\extra__n004168__0604_02.jpg,0,n004168
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_05_c_0_0__n007469.jpg,1,n007469
./detector_dataset\genuine\extra__n000973__0270_01.jpg,0,n000973
./detector_dataset\adversarial\CW_Untargeted__iter_10_lr_0_1_c_0_0__n005438.jpg,1,n005438
./detector_dataset\genuine\orig__n008571__0213_01.jpg,0,n008571
./detector_dataset\genuine\extra__n003666__0097_01.jpg,0,n003666
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_05_c_0_0__n001116.jpg,1,n001116
./detector_dataset\adversarial\DeepFool__1000_iter_10_eps_1e-06__n002972__0184_01.jpg,1,n002972
./detector_dataset\genuine\extra__n003444__0382_03.jpg,0,n003444
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter10__eps_0_100__n001517__0115_01.png,1,n001517
./detector_dataset\adversarial\CW_Untargeted__iter_1_lr_0_01_c_0_0__n004934.jpg,1,n004934
./detector_dataset\adversarial\PGD_nri3_iter5__eps_0_100__n003729__0352_02.png,1,n003729
./detector_dataset\adversarial\FGSM__eps_0_010__n003878__0257_01.png,1,n003878
./detector_dataset\genuine\extra__n001512__0215_02.jpg,0,n001512
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri5_iter5__eps_0_010__n001149__0203_01.png,1,n001149
./detector_dataset\genuine\extra__n003444__0229_01.jpg,0,n003444
./detector_dataset\genuine\extra__n001512__0069_01.jpg,0,n001512
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri5_iter5__eps_0_010__n002978__0184_01.png,1,n002978
./detector_dataset\adversarial\DeepFool__1000_iter_1_eps_1e-06__n007881__0069_01.jpg,1,n007881
./detector_dataset\adversarial\BIM_iter5__eps_0_010__n001664__0294_01.png,1,n001664
./detector_dataset\genuine\extra__n009271__0291_01.jpg,0,n009271
./detector_dataset\genuine\extra__n002978__0172_01.jpg,0,n002978
./detector_dataset\genuine\extra__n008462__0037_01.jpg,0,n008462
